qid,raw_query,tokens,oov,n_relevant,P@10,R@10,rank_first_relevant,top10_docs,top10_scores,top10_relevant_flag
1,what similarity laws must be obeyed when constructing aeroelastic models of heated high speed aircraft .,similar law must obey construct aeroelast model heat high speed aircraft .,,29,0.500,0.172,1,51;359;746;12;56;944;879;878;573;486,0.275;0.1962;0.1903;0.1758;0.1619;0.1527;0.1514;0.1481;0.1439;0.1363,1;0;0;1;1;0;1;0;0;1
2,what are the structural and aeroelastic problems associated with flight of high speed aircraft .,structur aeroelast problem associ flight high speed aircraft .,,25,0.400,0.160,1,12;51;746;884;100;1169;253;14;862;875,0.4294;0.3288;0.3107;0.2134;0.2071;0.205;0.1864;0.1726;0.1672;0.163,1;1;1;0;0;0;0;1;0;0
3,what problems of heat conduction in composite slabs have been solved so far .,problem heat conduct composit slab solv far .,,9,0.800,0.889,1,485;5;90;144;91;399;582;181;6;579,0.5803;0.4509;0.3731;0.3644;0.3271;0.2917;0.29;0.2271;0.194;0.1454,1;1;1;1;1;1;0;1;1;0
4,can a criterion be developed to show empirically the validity of flow solutions for chemically reacting gas mixtures based on the simplifying assumption of instantaneous local chemical equilibrium .,criterion develop show empir valid flow solut chemic react ga mixtur base simplifi assumpt instantan local chemic equilibrium .,,3,0.200,0.667,1,166;488;410;1275;1061;167;1189;1374;185;355,0.2602;0.2365;0.2141;0.2069;0.2022;0.1873;0.1769;0.1748;0.1622;0.1549,1;1;0;0;0;0;0;0;0;0
5,what chemical kinetic system is applicable to hypersonic aerodynamic problems .,chemic kinet system applic hyperson aerodynam problem .,,5,0.200,0.400,5,103;1032;410;943;552;401;367;1374;368;1158,0.262;0.2032;0.1916;0.177;0.1634;0.161;0.154;0.1461;0.1365;0.1322,0;0;0;0;1;1;0;0;0;0
6,what theoretical and experimental guides do we have as to turbulent couette flow behaviour .,theoret experiment guid turbul couett flow behaviour .,,5,0.300,0.600,1,491;386;1273;1282;883;257;385;151;99;406,0.2654;0.2011;0.1656;0.1592;0.1523;0.1427;0.1407;0.1306;0.1271;0.1222,1;0;0;0;0;1;0;0;1;0
7,is it possible to relate the available pressure distributions for an ogive forebody at zero angle of attack to the lower surface pressures of an equivalent ogive forebody at angle of attack .,possibl relat avail pressur distribut ogiv forebodi zero angl attack lower surfac pressur equival ogiv forebodi angl attack .,,6,0.300,0.500,1,492;434;233;57;1040;124;56;1231;232;1115,0.6453;0.3255;0.2756;0.2706;0.2559;0.2304;0.2277;0.1921;0.18;0.1657,1;0;0;1;0;0;1;0;0;0
8,what methods -dash exact or approximate -dash are presently available for predicting body pressures at angle of attack.,method -dash exact approxim -dash present avail predict bodi pressur angl attack .,,12,0.300,0.250,2,1083;492;443;122;1231;69;248;1307;354;1115,0.2781;0.2345;0.1663;0.1659;0.1388;0.1246;0.1234;0.1183;0.1136;0.1127,0;1;0;1;0;0;0;0;1;0
9,papers on internal /slip flow/ heat transfer studies .,paper intern /slip flow/ heat transfer studi .,/slip,4,0.000,0.000,37,102;45;846;763;398;5;554;145;983;838,0.2122;0.1689;0.1655;0.1558;0.1487;0.1375;0.1188;0.1158;0.1105;0.1104,0;0;0;0;0;0;0;0;0;0
10,are real-gas transport properties for air available over a wide range of enthalpies and densities .,real-ga transport properti air avail wide rang enthalpi densiti .,,9,0.300,0.333,1,493;302;949;1199;524;1009;1098;405;616;691,0.3305;0.2997;0.2557;0.1828;0.1813;0.1795;0.1679;0.1602;0.1512;0.1473,1;1;0;0;0;0;0;1;0;0
11,"is it possible to find an analytical,  similar solution of the strong blast wave problem in the newtonian approximation .","possibl find analyt , similar solut strong blast wave problem newtonian approxim .",,8,0.200,0.250,1,495;556;654;738;1327;1356;557;1186;472;273,0.5574;0.3162;0.2113;0.1991;0.1944;0.1925;0.1881;0.1823;0.1746;0.1693,1;0;1;0;0;0;0;0;0;0
12,how can the aerodynamic performance of channel flow ground effect machines be calculated .,aerodynam perform channel flow ground effect machin calcul .,,6,0.100,0.167,10,941;1221;270;1223;966;631;245;1094;704;624,0.4328;0.2603;0.244;0.2326;0.2228;0.1986;0.1985;0.1979;0.1949;0.1936,0;0;0;0;0;0;0;0;0;1
13,what is the basic mechanism of the transonic aileron buzz .,basic mechan transon aileron buzz .,,5,0.100,0.200,1,496;903;643;199;313;1268;38;801;660;468,0.6094;0.2424;0.2264;0.1958;0.1527;0.1249;0.1246;0.1167;0.1162;0.116,1;0;0;0;0;0;0;0;0;0
14,papers on shock-sound wave interaction .,paper shock-sound wave interact .,shock-sound,3,0.100,0.333,6,170;1364;256;798;345;64;335;291;973;540,0.4424;0.3424;0.3379;0.3361;0.3035;0.2991;0.2937;0.2476;0.2457;0.2368,0;0;0;0;0;1;0;0;0;0
15,material properties of photoelastic materials .,materi properti photoelast materi .,,3,0.200,0.667,1,462;1097;761;866;1117;1025;1099;553;463;1096,0.3257;0.2043;0.2042;0.179;0.1619;0.1594;0.1544;0.1538;0.1503;0.1444,1;0;0;0;0;0;0;0;1;0
16,can the transverse potential flow about a body of revolution be calculated efficiently by an electronic computer .,transvers potenti flow bodi revolut calcul effici electron comput .,,4,0.200,0.500,1,498;106;1328;248;231;1255;814;1301;494;447,0.4005;0.3112;0.2575;0.2184;0.218;0.2149;0.1983;0.1827;0.167;0.1656,1;1;0;0;0;0;0;0;0;0
17,can the three-dimensional problem of a transverse potential flow about a body of revolution be reduced to a two-dimensional problem .,three-dimension problem transvers potenti flow bodi revolut reduc two-dimension problem .,,3,0.200,0.667,1,106;498;1281;1301;1108;700;336;814;445;410,0.342;0.2947;0.2714;0.2649;0.2554;0.2275;0.2258;0.2045;0.2034;0.1956,1;1;0;0;0;0;0;0;0;0
18,are experimental pressure distributions on bodies of revolution at angle of attack available .,experiment pressur distribut bodi revolut angl attack avail .,,4,0.200,0.500,3,492;248;498;197;122;1231;106;1301;354;231,0.4418;0.3984;0.3665;0.3066;0.2745;0.2705;0.2636;0.2581;0.248;0.246,0;0;1;1;0;0;0;0;0;0
19,does there exist a good basic treatment of the dynamics of re-entry combining consideration of realistic effects with relative simplicity of results .,doe exist good basic treatment dynam re-entri combin consider realist effect rel simplic result .,,10,0.000,0.000,16,554;803;303;842;660;82;706;286;1242;987,0.1429;0.1185;0.1175;0.1017;0.1005;0.0955;0.0928;0.0921;0.0881;0.0868,0;0;0;0;0;0;0;0;0;0
20,"has anyone formally determined the influence of joule heating,  produced by the induced current,  in magnetohydrodynamic free convection flows under general conditions .","ha anyon formal determin influenc joul heat , produc induc current , magnetohydrodynam free convect flow gener condit .",anyon,10,0.600,0.600,1,500;407;270;450;87;300;408;584;104;120,0.488;0.178;0.1649;0.1628;0.1543;0.1491;0.1472;0.1439;0.1369;0.1351,1;1;1;0;1;0;1;0;1;0
21,why does the compressibility transformation fail to correlate the high speed data for helium and air .,whi doe compress transform fail correl high speed data helium air .,,5,0.200,0.400,1,502;68;16;628;17;460;421;1007;377;686,0.2276;0.1997;0.1793;0.1626;0.1602;0.151;0.1486;0.1428;0.1411;0.1295,1;0;1;0;0;0;0;0;0;0
22,did anyone else discover that the turbulent skin friction is not over sensitive to the nature of the variation of the viscosity with temperature .,anyon els discov turbul skin friction sensit natur variat viscos temperatur .,anyon els,2,0.000,0.000,970,254;125;207;560;120;140;346;153;413;1147,0.2543;0.2512;0.2155;0.2088;0.203;0.1976;0.1955;0.1863;0.1787;0.1699,0;0;0;0;0;0;0;0;0;0
23,what progress has been made in research on unsteady aerodynamics .,progress ha made research unsteadi aerodynam .,,33,0.600,0.182,1,892;899;1109;1259;586;903;902;777;116;530,0.3288;0.3051;0.2415;0.2032;0.1767;0.1752;0.1551;0.1493;0.1483;0.1427,1;1;1;1;0;1;1;0;0;0
24,what are the factors which influence the time required to invert large structural matrices .,factor influenc time requir invert larg structur matric .,,4,0.300,0.750,1,46;756;612;833;12;47;1034;51;834;1361,0.3272;0.2966;0.2199;0.1535;0.1518;0.1508;0.1501;0.1141;0.1081;0.1063,1;1;0;0;0;1;0;0;0;0
25,does a practical flow follow the theoretical concepts for the interaction between adjacent blade rows of a supersonic cascade .,doe practic flow follow theoret concept interact adjac blade row superson cascad .,,10,0.500,0.500,1,277;214;772;990;215;987;216;213;170;540,0.4131;0.3575;0.2335;0.2185;0.2099;0.1919;0.1653;0.1482;0.1467;0.1444,1;1;0;0;1;0;1;1;0;0
26,what is a single approximate formula for the displacement thickness of a laminar boundary layer in compressible flow on a flat plate .,singl approxim formula displac thick laminar boundari layer compress flow flat plate .,,7,0.300,0.429,3,382;307;145;4;568;348;736;611;1076;389,0.4239;0.3457;0.3453;0.2791;0.2703;0.2639;0.2592;0.25;0.231;0.2276,0;0;1;0;0;0;0;1;1;0
27,how is the design of ring or part ring wings by linear theory affected by thickness .,design ring part ring wing linear theori affect thick .,,4,0.200,0.500,3,1031;1293;512;1176;1035;224;279;680;886;1132,0.4136;0.2391;0.2329;0.2167;0.2036;0.192;0.1562;0.1523;0.1406;0.1265,0;0;1;0;0;1;0;0;0;0
28,what application has the linear theory design of curved wings .,applic ha linear theori design curv wing .,,3,0.000,0.000,141,1051;762;1050;920;470;680;921;698;683;247,0.2544;0.2177;0.2041;0.2038;0.1966;0.193;0.1885;0.1768;0.1722;0.1678,0;0;0;0;0;0;0;0;0;0
29,what is the effect of cross sectional shape on the flow over simple delta wings with sharp leading edges .,effect cross section shape flow simpl delta wing sharp lead edg .,,10,0.300,0.300,1,465;250;420;900;612;683;222;211;601;200,0.4631;0.4035;0.3919;0.3368;0.2927;0.2854;0.2792;0.2674;0.2603;0.25,1;1;0;0;1;0;0;0;0;0
30,papers on flow visualization on slender conical wings .,paper flow visual slender conic wing .,,8,0.100,0.125,6,602;633;1058;1070;683;513;222;688;19;601,0.2413;0.2169;0.1909;0.1878;0.185;0.1813;0.179;0.1541;0.1514;0.1469,0;0;0;0;0;1;0;0;0;0
31,what size of end plate can be safely used to simulate two-dimensional flow conditions over a bluff cylindrical body of finite aspect ratio .,size end plate safe use simul two-dimension flow condit bluff cylindr bodi finit aspect ratio .,,2,0.100,0.500,1,751;68;247;918;551;1153;228;1082;916;845,0.3573;0.1817;0.1321;0.1299;0.1244;0.1237;0.1208;0.1161;0.1149;0.1112,1;0;0;0;0;0;0;0;0;0
32,to find an approximate correction for thickness in slender thin-wing theory .,find approxim correct thick slender thin-w theori .,,7,0.100,0.143,1,752;738;382;1259;491;242;802;714;192;530,0.715;0.1924;0.1885;0.1502;0.1478;0.1206;0.1204;0.1186;0.1161;0.1142,1;0;0;0;0;0;0;0;0;0
33,how do interference-free longitudinal stability measurements (made using free-flight models) compare with similar measurements made in a low-blockage wind tunnel .,interference-fre longitudin stabil measur ( made use free-flight model ) compar similar measur made low-blockag wind tunnel .,interference-fre low-blockag,4,0.300,0.750,1,516;431;141;594;1155;598;808;1153;713;791,0.3645;0.3383;0.3237;0.2973;0.2383;0.229;0.2132;0.1989;0.1967;0.1896,1;1;1;0;0;0;0;0;0;0
34,have wind tunnel interference effects been investigated on a systematic basis .,wind tunnel interfer effect investig systemat basi .,,7,0.500,0.714,3,610;1153;516;431;252;594;795;672;799;280,0.3343;0.3309;0.2665;0.2553;0.2427;0.2388;0.2212;0.2176;0.2069;0.1962,0;0;1;1;1;0;0;1;1;0
35,are there any papers dealing with acoustic wave propagation in reacting gases .,ani paper deal acoust wave propag react gase .,,4,0.000,0.000,25,724;1244;1208;1203;75;65;1276;488;654;151,0.2523;0.2422;0.2148;0.1772;0.1745;0.1522;0.1497;0.1448;0.1371;0.137,0;0;0;0;0;0;0;0;0;0
36,has anyone investigated relaxation effects on gaseous heat transfer to a suddenly heated wall .,ha anyon investig relax effect gaseou heat transfer suddenli heat wall .,anyon,3,0.100,0.333,1,168;281;398;123;666;554;120;145;623;559,0.2008;0.1928;0.1822;0.1809;0.1698;0.1567;0.1496;0.148;0.144;0.1401,1;0;0;0;0;0;0;0;0;0
37,are there any theoretical methods for predicting base pressure .,ani theoret method predict base pressur .,,10,0.300,0.300,6,186;176;196;179;1311;519;234;188;173;189,0.2205;0.2143;0.2079;0.19;0.1895;0.1851;0.1784;0.1731;0.171;0.1692,0;0;0;0;0;1;0;1;1;0
38,does transition in the hypersonic wake depend on body geometry and size,doe transit hyperson wake depend bodi geometri size,,11,0.200,0.182,1,536;1141;976;295;1264;272;154;1368;294;186,0.2483;0.2363;0.2282;0.2144;0.213;0.1872;0.1843;0.1832;0.1764;0.1667,1;0;0;0;0;1;0;0;0;0
39,how can one detect transition phenomena in boundary layers .,one detect transit phenomena boundari layer .,,14,0.200,0.143,2,37;272;1205;295;1264;346;9;1278;315;418,0.2475;0.2475;0.224;0.2065;0.1964;0.1837;0.1787;0.1725;0.1655;0.1602,0;1;0;0;0;0;0;0;0;1
40,how can one detect transition phenomena in hypersonic wakes .,one detect transit phenomena hyperson wake .,,13,0.300,0.231,1,536;37;1141;272;295;1205;976;1368;1196;154,0.282;0.2762;0.2378;0.2109;0.2046;0.1988;0.1986;0.1844;0.1638;0.1614,1;0;0;1;0;0;1;0;0;0
41,has anyone investigated and developed a simple model for the vortex wake behind a cruciform wing .,ha anyon investig develop simpl model vortex wake behind cruciform wing .,anyon,4,0.300,0.750,1,289;433;927;1141;432;229;1152;288;126;1277,0.5795;0.4028;0.3201;0.2998;0.2925;0.2756;0.2649;0.2527;0.2398;0.2247,1;1;0;0;0;0;0;1;0;0
42,what is a criterion that the transonic flow around an airfoil with a round leading edge be validly analyzed by the linearized transonic flow theory .,criterion transon flow around airfoil round lead edg validli analyz linear transon flow theori .,validli,6,0.400,0.667,1,521;526;503;440;467;469;468;496;801;312,0.4721;0.4009;0.341;0.3265;0.2927;0.2863;0.2806;0.2631;0.2401;0.2232,1;0;0;0;1;1;1;0;0;0
43,can the transonic flow around an arbitrary smooth thin airfoil be analysed in a simple approximate way .,transon flow around arbitrari smooth thin airfoil analys simpl approxim way .,,7,0.500,0.714,1,467;194;469;503;440;404;39;526;496;468,0.2884;0.2692;0.2518;0.2502;0.2072;0.2071;0.2052;0.1974;0.1926;0.1875,1;0;1;1;0;0;1;0;0;1
44,what are the details of the rigorous kinetic theory of gases . (chapman-enskog theory) .,detail rigor kinet theori gase . ( chapman-enskog theori ) .,,4,0.000,0.000,781,1190;583;862;1148;1031;1314;103;385;541;410,0.1797;0.136;0.1271;0.1213;0.1203;0.1039;0.1035;0.1031;0.0855;0.0837,0;0;0;0;0;0;0;0;0;0
45,has anyone investigated the effect of surface mass transfer on hypersonic viscous interactions .,ha anyon investig effect surfac mass transfer hyperson viscou interact .,anyon,13,0.400,0.308,1,305;540;525;1185;123;84;310;170;37;570,0.4284;0.4265;0.3779;0.3202;0.2958;0.2755;0.2577;0.2509;0.2454;0.2372,1;0;1;1;0;0;0;0;0;1
46,what is the combined effect of surface heat and mass transfer on hypersonic flow .,combin effect surfac heat mass transfer hyperson flow .,,16,0.600,0.375,1,1185;123;525;84;803;655;37;623;305;120,0.3913;0.3614;0.3571;0.3112;0.277;0.2677;0.2661;0.2555;0.2511;0.2197,1;1;1;1;0;0;0;1;1;0
47,what are the existing solutions for hypersonic viscous interactions over an insulated flat plate .,exist solut hyperson viscou interact insul flat plate .,,15,0.500,0.333,2,568;305;525;540;570;310;1200;304;170;1076,0.5256;0.3666;0.3378;0.3123;0.3031;0.2905;0.2653;0.2622;0.2426;0.2277,0;1;1;0;1;1;0;1;0;0
48,what controls leading-edge attachment at transonic speeds .,control leading-edg attach transon speed .,,12,0.300,0.250,1,526;1228;797;334;440;26;638;368;801;609,0.5221;0.3196;0.3168;0.2508;0.2421;0.2057;0.2029;0.1959;0.1908;0.1861,1;0;1;0;1;0;0;0;0;0
49,"can the three-point boundary-value problem for the blasius equation be integrated numerically,  using suitable transformations,  without iteration on the boundary conditions .","three-point boundary-valu problem blasiu equat integr numer , use suitabl transform , without iter boundari condit .",,3,0.200,0.667,1,527;320;321;322;349;1087;832;476;1370;537,0.6056;0.4241;0.3776;0.3371;0.2606;0.2313;0.231;0.2151;0.1887;0.1872,1;1;0;0;0;0;0;0;0;0
50,what are the effects of small amounts of gas rarefaction on the characteristics of the boundary layers on slender bodies of revolution .,effect small amount ga rarefact characterist boundari layer slender bodi revolut .,,7,0.100,0.143,9,192;1301;494;1259;248;498;1112;273;326;337,0.223;0.2174;0.1808;0.1788;0.1768;0.1761;0.1755;0.1733;0.1725;0.158,0;0;0;0;0;0;0;0;1;0
51,what is the available information pertaining to boundary layers on very slender bodies of revolution in continuum flow (the ?transverse curvature  effect) .,avail inform pertain boundari layer veri slender bodi revolut continuum flow ( ? transvers curvatur effect ) .,,11,0.500,0.455,2,385;494;326;386;147;1301;94;23;523;192,0.2797;0.2596;0.2226;0.2131;0.1914;0.1798;0.1733;0.1701;0.1481;0.1465,0;1;1;0;0;0;1;1;0;1
52,what is the available information pertaining to the effect of slight rarefaction on boundary layer flows (the ?slip? effect) .,avail inform pertain effect slight rarefact boundari layer flow ( ? slip ? effect ) .,,5,0.500,1.000,4,385;386;147;326;21;1215;22;306;528;629,0.421;0.3108;0.2365;0.1782;0.1412;0.1411;0.1364;0.1319;0.1148;0.0917,0;0;0;1;1;0;1;1;1;0
53,"what investigations have been made of the flow field about a body moving through a rarefied,  partially ionized gas in the presence of a magneticfield .","investig made flow field bodi move rarefi , partial ioniz ga presenc magneticfield .",magneticfield,11,0.300,0.273,1,208;1139;437;1297;298;1221;1073;22;978;447,0.3503;0.177;0.1709;0.1609;0.1559;0.1533;0.1462;0.143;0.1363;0.1263,1;0;0;0;1;0;0;0;0;1
54,how is the heat transfer downstream of the mass transfer region effected by mass transfer at the nose of a blunted cone .,heat transfer downstream mass transfer region effect mass transfer nose blunt cone .,,10,0.200,0.200,1,123;1185;84;525;666;559;784;623;44;554,0.5105;0.4072;0.375;0.3358;0.3143;0.2597;0.2595;0.259;0.2476;0.2457,1;0;1;0;0;0;0;0;0;0
55,to what extent can the available information for incompressible boundary layers be applied to problems involving compressible boundary layers .,extent avail inform incompress boundari layer appli problem involv compress boundari layer .,,11,0.200,0.182,1,376;4;460;251;798;1301;3;1214;17;1383,0.289;0.2632;0.247;0.2395;0.2093;0.1937;0.1891;0.1867;0.1863;0.1839,1;0;1;0;0;0;0;0;0;0
56,to what extent can readily available steady-state aerodynamic data be utilized to predict lifting-surface flutter characteristics .,extent readili avail steady-st aerodynam data util predict lifting-surfac flutter characterist .,,11,0.300,0.273,1,753;878;202;783;391;14;1290;1331;593;1339,0.3218;0.2089;0.1847;0.1752;0.174;0.1625;0.161;0.1599;0.1525;0.1472,1;0;0;0;0;1;0;0;0;1
57,what are the significant steady and non-steady flow characteristics which affect the flutter mechanism .,signific steadi non-steadi flow characterist affect flutter mechan .,,15,0.300,0.200,3,916;878;593;202;753;391;747;1111;15;1290,0.2624;0.2212;0.1837;0.1835;0.1835;0.1735;0.1692;0.1638;0.1619;0.1619,0;0;1;0;1;0;0;0;1;0
58,"is it possible to determine rates of forced convective heat transfer from heated cylinders of non-circular cross-section,  (the fluid flow being along the generators) .","possibl determin rate forc convect heat transfer heat cylind non-circular cross-sect , ( fluid flow along gener ) .",non-circular,10,0.200,0.200,1,788;963;120;270;398;786;300;407;873;962,0.3201;0.3096;0.3092;0.2635;0.2353;0.2327;0.2322;0.232;0.2309;0.2245,1;0;0;0;0;1;0;0;0;0
59,how much is known about boundary layer flows along non-circular cylinders .,much known boundari layer flow along non-circular cylind .,non-circular,5,0.200,0.400,1,786;382;1046;23;912;785;381;393;659;1045,0.253;0.2281;0.2232;0.2048;0.2048;0.2024;0.1917;0.1856;0.1809;0.1761,1;0;0;0;0;1;0;0;0;0
60,"is there any simple, but practical, method for numerical integration of the mixing problem (i.e. the blasius problem with three-point boundary conditions) .","ani simpl , practic , method numer integr mix problem ( i.e . blasiu problem three-point boundari condit ) .",,6,0.400,0.667,1,527;320;322;321;107;476;350;11;243;960,0.5651;0.4403;0.3445;0.3421;0.2062;0.206;0.2017;0.1755;0.1577;0.1569,1;1;1;0;0;1;0;0;0;0
61,does there exist a closed-form expression for the local heat transfer around a yawed cylinder .,doe exist closed-form express local heat transfer around yaw cylind .,,6,0.400,0.667,1,564;333;1213;566;539;565;435;1309;784;754,0.3371;0.313;0.309;0.305;0.2776;0.2145;0.2041;0.1801;0.1585;0.1489,1;0;0;1;1;1;0;0;0;0
62,"how far around a cylinder and under what conditions of flow, if any, is the velocity just outside of the boundary layer a linear function of the distance around the cylinder .","far around cylind condit flow , ani , veloc outsid boundari layer linear function distanc around cylind .",,6,0.000,0.000,16,483;785;787;1046;659;381;533;1383;382;459,0.2837;0.2522;0.2354;0.2315;0.2176;0.2163;0.2081;0.2038;0.2034;0.201,0;0;0;0;0;0;0;0;0;0
63,where can i find pressure data on surfaces of swept cylinders .,find pressur data surfac swept cylind .,,4,0.000,0.000,35,738;678;843;1045;491;1046;204;839;420;891,0.2704;0.2631;0.2431;0.2403;0.2216;0.2033;0.1896;0.188;0.1734;0.1691,0;0;0;0;0;0;0;0;0;0
64,"can't the static deflection shapes be used in predicting flutter in place of vibrational shapes . if so,  can we provide a justification by means of an example .","ca n't static deflect shape use predict flutter place vibrat shape . , provid justif mean exampl .",ca,3,0.200,0.667,2,52;390;878;593;834;719;391;202;15;914,0.1766;0.1719;0.1703;0.157;0.151;0.149;0.1474;0.1469;0.1396;0.1394,0;1;0;0;0;0;1;0;0;0
65,does the boundary layer on a flat plate in a shear flow induce a pressure gradient .,doe boundari layer flat plate shear flow induc pressur gradient .,,16,0.600,0.375,1,3;388;393;4;664;180;569;389;1382;1370,0.494;0.405;0.3617;0.3323;0.3155;0.2839;0.2731;0.2571;0.2547;0.2389,1;1;1;1;1;1;0;0;0;0
66,can the procedure of matching inner and outer solutions for a viscous flow problem be applied when the main stream is a shear flow .,procedur match inner outer solut viscou flow problem appli main stream shear flow .,,6,0.200,0.333,4,128;1182;305;664;191;1251;590;310;1206;629,0.3602;0.2479;0.2241;0.2184;0.2182;0.2008;0.1963;0.1765;0.1765;0.1618,0;0;0;1;0;0;0;0;0;1
67,can series expansions be found for the boundary layer on a flat plate in a shear flow .,seri expans found boundari layer flat plate shear flow .,,15,0.700,0.467,1,393;3;4;664;180;389;149;128;458;1107,0.4051;0.4002;0.3722;0.3446;0.318;0.2879;0.2792;0.2558;0.2528;0.2412,1;1;1;1;1;1;0;1;0;0
68,what possible techniques are available for computing the injection distribution corresponding to an isothermal transpiration cooled hemisphere .,possibl techniqu avail comput inject distribut correspond isotherm transpir cool hemispher .,,6,0.200,0.333,1,628;343;662;480;125;1237;974;364;365;254,0.3935;0.2872;0.2394;0.2085;0.2007;0.1981;0.1967;0.1935;0.1897;0.1812,1;0;1;0;0;0;0;0;0;0
69,what is known regarding asymptotic solutions to the exact boundary layer equations .,known regard asymptot solut exact boundari layer equat .,,6,0.100,0.167,5,264;664;1383;1138;540;105;310;365;256;306,0.2279;0.1861;0.1838;0.1777;0.1676;0.166;0.1567;0.1513;0.1513;0.1508,0;0;0;0;1;0;0;0;0;0
70,previous solutions to the boundary layer similarity equations .,previou solut boundari layer similar equat .,,11,0.100,0.091,1,540;1149;320;180;300;435;4;349;1383;192,0.3231;0.3203;0.2559;0.2557;0.2523;0.2169;0.2071;0.1998;0.1952;0.1943,1;0;0;0;0;0;0;0;0;0
71,experimental results on hypersonic viscous interaction .,experiment result hyperson viscou interact .,,9,0.100,0.111,1,540;305;170;570;310;573;537;1253;26;134,0.4702;0.408;0.3416;0.324;0.3126;0.3087;0.2795;0.2517;0.2462;0.2397,1;0;0;0;0;0;0;0;0;0
72,"what has been done about viscous interactions in relatively low reynolds number flows, particularly at high mach numbers .","ha done viscou interact rel low reynold number flow , particularli high mach number .",,18,0.200,0.111,6,540;170;666;1078;310;305;315;1360;570;238,0.2135;0.1862;0.1795;0.173;0.169;0.1679;0.1634;0.1633;0.1553;0.1545,0;0;0;0;0;1;0;0;1;0
73,what role does the effect of chemical reaction (particularly when out of equilibrium) play in the similitude laws governing hypersonic flows over slender aerodynamic bodies .,role doe effect chemic reaction ( particularli equilibrium ) play similitud law govern hyperson flow slender aerodynam bodi .,,21,0.600,0.286,1,332;573;541;572;359;410;552;401;577;517,0.3818;0.3475;0.2573;0.1899;0.1822;0.1808;0.1803;0.1803;0.1686;0.1647,1;1;1;1;0;0;0;1;1;0
74,how significant is the possible pressure of a dissociated free stream with respect to the realization of hypersonic simulation in high enthalpy wind tunnels .,signific possibl pressur dissoci free stream respect realiz hyperson simul high enthalpi wind tunnel .,,7,0.200,0.286,6,625;1153;68;876;26;656;1295;317;1155;1161,0.2546;0.2545;0.2475;0.241;0.2289;0.2123;0.2052;0.1654;0.1623;0.1584,0;0;0;0;0;1;0;1;0;0
75,do the discrepancies among current analyses of the vorticity effect on stagnation-point heat transfer result primarily from the differences in the viscosity-temperature law assumed .,discrep among current analys vortic effect stagnation-point heat transfer result primarili differ viscosity-temperatur law assum .,,6,0.000,0.000,12,565;1146;629;180;951;396;902;306;584;501,0.171;0.1625;0.1366;0.1295;0.1267;0.1237;0.123;0.1229;0.1216;0.1196,0;0;0;0;0;0;0;0;0;0
76,how far can one trust the linear viscosity-temperature solution assumed in some of the analyses of hypersonic shock layer at low reynolds number .,far one trust linear viscosity-temperatur solut assum analys hyperson shock layer low reynold number .,trust,8,0.300,0.375,2,565;666;630;1076;537;50;667;1394;668;238,0.2647;0.212;0.2005;0.1538;0.1521;0.1466;0.1464;0.1442;0.139;0.1389,0;1;1;0;0;0;1;0;0;0
