qid,raw_query,tokens,oov,n_relevant,P@10,R@10,rank_first_relevant,top10_docs,top10_scores,top10_relevant_flag
77,how close is the comparison of the shock layer theory with existing experiments in the low reynolds number (merged-layer) regime .,close comparison shock layer theori exist experi low reynold number ( merged-lay ) regim .,merged-lay,7,0.500,0.714,1,667;1391;1264;329;345;170;668;504;630;1149,0.2966;0.2803;0.2631;0.2416;0.2188;0.2141;0.2094;0.1943;0.1902;0.1821,1;1;0;1;0;0;1;0;1;0
78,has anyone explained the kink in the surge line of a multi-stage axial compressor .,ha anyon explain kink surg line multi-stag axial compressor .,anyon,4,0.300,0.750,1,589;543;216;237;578;138;592;591;214;590,0.3217;0.2679;0.2128;0.1933;0.1759;0.1675;0.1606;0.1363;0.1349;0.1322,1;1;0;0;0;0;0;0;0;1
79,have any aerodynamic derivatives been measured at hypersonic mach numbers and comparison been made with theoretical work .,ani aerodynam deriv measur hyperson mach number comparison made theoret work .,,6,0.100,0.167,5,196;567;19;199;544;1310;1066;56;360;556,0.221;0.2148;0.2113;0.209;0.2023;0.1713;0.1648;0.1638;0.1627;0.1609,0;0;0;0;1;0;0;0;0;0
80,are methods of measuring aerodynamic derivatives available which could be adopted for use in short running time facilities .,method measur aerodynam deriv avail could adopt use short run time facil .,,5,0.100,0.200,1,544;604;546;875;602;879;301;878;917;107,0.2376;0.1943;0.185;0.1298;0.1188;0.1083;0.1047;0.1044;0.1033;0.1011,1;0;0;0;0;0;0;0;0;0
81,what are wind-tunnel corrections for a two-dimensional aerofoil mounted off-centre in a tunnel .,wind-tunnel correct two-dimension aerofoil mount off-centr tunnel .,off-centr,3,0.300,1.000,5,249;652;714;206;799;203;672;631;676;468,0.2562;0.2553;0.2496;0.2437;0.2258;0.2106;0.1916;0.177;0.1692;0.1507,0;0;0;0;1;0;1;1;0;0
82,how do kuchemann's and multhopp's methods for calculating lift distributions on swept wings in subsonic flow compare with each other and with experiment .,kuchemann 's multhopp 's method calcul lift distribut swept wing subson flow compar experi .,multhopp,6,0.200,0.333,1,678;1334;676;1339;420;698;699;465;853;1337,0.2996;0.2131;0.2023;0.1887;0.1737;0.1683;0.1564;0.1559;0.1497;0.1425,1;0;1;0;0;0;0;0;0;0
83,what is the present state of the theory of quasi-conical flows .,present state theori quasi-con flow .,,5,0.100,0.200,1,680;1275;1053;1060;286;24;385;335;509;855,0.258;0.1231;0.1224;0.0799;0.0776;0.0757;0.0637;0.0604;0.0596;0.0591,1;0;0;0;0;0;0;0;0;0
84,references on the methods available for accurately estimating aerodynamic heat transfer to conical bodies for both laminar and turbulent flow .,refer method avail accur estim aerodynam heat transfer conic bodi laminar turbul flow .,,12,0.200,0.167,1,294;21;522;398;19;688;554;378;1070;872,0.2652;0.2544;0.2363;0.2217;0.2147;0.2109;0.2075;0.1987;0.1984;0.1934,1;0;1;0;0;0;0;0;0;0
85,what parameters can seriously influence natural transition from laminar to turbulent flow on a model in a wind tunnel .,paramet serious influenc natur transit laminar turbul flow model wind tunnel .,,5,0.000,0.000,41,294;1155;418;1153;272;315;594;522;876;207,0.2269;0.2104;0.2021;0.1881;0.1833;0.1811;0.1756;0.1722;0.1666;0.1644,0;0;0;0;0;0;0;0;0;0
86,can a satisfactory experimental technique be developed for measuring oscillatory derivatives on slender sting-mounted models in supersonic wind tunnels .,satisfactori experiment techniqu develop measur oscillatori deriv slender sting-mount model superson wind tunnel .,,3,0.300,1.000,1,594;755;716;1155;790;1153;1272;431;598;516,0.4814;0.4487;0.2101;0.206;0.1951;0.174;0.1672;0.1665;0.1633;0.1622,1;1;0;0;1;0;0;0;0;0
87,"what effect has the boundary layer in modifying the basic inviscid flow behind the shock, neglecting effects of leading edge and corner .","effect ha boundari layer modifi basic inviscid flow behind shock , neglect effect lead edg corner .",,9,0.100,0.111,1,547;439;1250;134;1267;903;610;667;167;569,0.2245;0.2089;0.1917;0.181;0.1787;0.1747;0.1727;0.1717;0.163;0.1621,1;0;0;0;0;0;0;0;0;0
88,how does a satellite orbit contract under the action of air drag in an atmosphere in which the scale height varies with altitude .,doe satellit orbit contract action air drag atmospher scale height vari altitud .,,7,0.700,1.000,1,613;548;615;616;622;614;618;617;619;162,0.4491;0.3564;0.3519;0.341;0.3393;0.3061;0.3035;0.2972;0.2717;0.2231,1;1;1;1;0;1;1;1;0;0
89,how is the flow at transonic speeds about a delta wing different from that on a closely-related tapered sweptback wing .,flow transon speed delta wing differ closely-rel taper sweptback wing .,closely-rel,7,0.200,0.286,7,632;52;699;200;879;250;793;420;465;464,0.3036;0.2706;0.2703;0.2697;0.2665;0.2628;0.2566;0.2471;0.2285;0.2235,0;0;0;0;0;0;1;1;0;0
90,recent data on shock-induced boundary-layer separation .,recent data shock-induc boundary-lay separ .,,14,0.300,0.214,2,265;311;1187;187;996;457;959;415;1239;793,0.3728;0.2465;0.2145;0.1737;0.1621;0.1569;0.1457;0.1407;0.1406;0.1378,0;1;1;0;0;0;0;0;0;1
91,what interference effects are likely at transonic speeds .,interfer effect like transon speed .,,10,0.400,0.400,2,610;252;526;799;924;801;1062;468;672;1075,0.3669;0.2543;0.2265;0.2189;0.2127;0.2046;0.2003;0.1986;0.1963;0.1934,0;1;0;1;0;1;0;0;1;0
92,"given complete freedom in the design of an airplane,  what procedure would be used in order to minimize sonic boom intensity,  and is there a limit to the degree of minimizing that can be accomplished .","given complet freedom design airplan , procedur would use order minim sonic boom intens , limit degre minim accomplish .",,14,0.700,0.500,1,810;1247;806;804;1331;1252;1243;808;805;683,0.2771;0.2361;0.2175;0.2011;0.1798;0.1751;0.1621;0.1482;0.1445;0.1398,1;1;1;1;0;0;1;1;1;0
93,"can methane-air combustion product be used as a hypersonic test medium and predict, within experimental accuracies, the results obtained in air .","methane-air combust product use hyperson test medium predict , within experiment accuraci , result obtain air .",,2,0.200,1.000,1,635;691;1072;144;1314;1241;68;1336;232;461,0.6214;0.2973;0.1994;0.1869;0.1781;0.1632;0.1469;0.1355;0.1325;0.125,1;1;0;0;0;0;0;0;0;0
94,what is the theoretical heat transfer rate at the stagnation point of a blunt body .,theoret heat transfer rate stagnat point blunt bodi .,,13,0.500,0.385,1,559;1393;1161;283;1104;983;438;537;366;365,0.5428;0.4001;0.3168;0.3167;0.3095;0.3093;0.2992;0.2894;0.2874;0.2836,1;1;1;1;1;0;0;0;0;0
95,what is the theoretical heat transfer distribution around a hemisphere .,theoret heat transfer distribut around hemispher .,,3,0.100,0.333,1,662;535;554;553;628;1104;398;123;1258;145,0.3028;0.2617;0.2127;0.2048;0.1881;0.1791;0.1744;0.172;0.1659;0.1612,1;0;0;0;0;0;0;0;0;0
96,has anyone investigated the unsteady lift distributions on finite wings in subsonic flow .,ha anyon investig unsteadi lift distribut finit wing subson flow .,anyon,14,0.400,0.286,1,698;637;899;699;892;1109;680;1259;779;465,0.4011;0.3716;0.3376;0.2771;0.2612;0.258;0.2519;0.247;0.2376;0.2291,1;1;0;1;0;0;0;0;1;0
97,what information is available for dynamic response of airplanes to gusts or blasts in the subsonic regime .,inform avail dynam respons airplan gust blast subson regim .,,11,0.200,0.182,3,1331;882;1289;495;779;781;556;783;1391;1270,0.3635;0.3274;0.2709;0.2292;0.2148;0.2144;0.1925;0.1789;0.166;0.1628,0;0;1;0;1;0;0;0;0;0
98,will forward or apex located controls be effective at low subsonic speeds and how do they compare with conventional trailing-edge flaps,forward apex locat control effect low subson speed compar convent trailing-edg flap,,6,0.100,0.167,2,673;638;1091;1163;1343;368;631;792;245;1265,0.3654;0.2786;0.1822;0.1717;0.1625;0.1501;0.1482;0.1472;0.1423;0.136,0;1;0;0;0;0;0;0;0;0
99,"given that an uncontrolled vehicle will tumble as it enters an atmosphere, is it possible to predict when and how it will stop tumbling and its subsequent motion .","given uncontrol vehicl tumbl enter atmospher , possibl predict stop tumbl subsequ motion .",stop,5,0.300,0.600,1,639;719;715;716;944;717;164;1000;1348;958,0.5447;0.3901;0.2193;0.1757;0.1395;0.1329;0.1256;0.121;0.1121;0.1048,1;1;0;0;0;1;0;0;0;0
100,what are the effects of initial imperfections on the elastic buckling of cylindrical shells under axial compression .,effect initi imperfect elast buckl cylindr shell axial compress .,,10,0.300,0.300,1,760;1122;822;1013;739;1126;1172;897;740;1017,0.5195;0.485;0.4635;0.4295;0.4053;0.4035;0.3957;0.3929;0.3554;0.3497,1;1;1;0;0;0;0;0;0;0
101,why does the incremental theory and the deformation theory of plastic stress-strain relationship differ greatly when applied to stabilityproblems .,whi doe increment theori deform theori plastic stress-strain relationship differ greatli appli stabilityproblem .,stabilityproblem,7,0.600,0.857,1,820;819;818;823;1119;825;760;817;1121;378,0.3657;0.3016;0.2956;0.2902;0.242;0.2368;0.2305;0.2262;0.1743;0.1594,1;1;1;0;0;1;1;1;0;0
102,basic dynamic characteristics of structures continuous over many spans .,basic dynam characterist structur continu mani span .,,5,0.300,0.600,1,910;287;728;1092;660;516;1001;729;286;1242,0.2515;0.1566;0.1544;0.152;0.1475;0.1312;0.128;0.1278;0.1272;0.1192,1;0;1;0;0;0;0;1;0;0
103,is the information on the buckling of sandwich sphere available .,inform buckl sandwich sphere avail .,,3,0.100,0.333,1,761;1048;720;1049;1050;770;1214;956;669;1126,0.4934;0.3349;0.321;0.2992;0.2867;0.2662;0.2578;0.2301;0.1949;0.1929,1;0;0;0;0;0;0;0;0;0
104,can the load deformation characteristics of a beam be obtained with the material being inelastic and a non uniform temperature being present .,load deform characterist beam obtain materi inelast non uniform temperatur present .,non,6,0.100,0.167,1,762;1177;644;462;910;913;1024;29;760;824,0.3258;0.3101;0.2479;0.245;0.2361;0.2186;0.2015;0.2014;0.1906;0.188,1;0;0;0;0;0;0;0;0;0
105,what is the effect of an internal liquid column on the breathing vibrations of a cylindrical shell .,effect intern liquid column breath vibrat cylindr shell .,,6,0.400,0.667,1,848;764;847;846;743;1071;953;1017;739;1067,0.4939;0.4868;0.2625;0.2266;0.1933;0.1868;0.1866;0.184;0.1745;0.1728,1;1;1;1;0;0;0;0;0;0
106,experimental techniques in shell vibration .,experiment techniqu shell vibrat .,,6,0.300,0.500,1,847;848;930;908;844;1036;764;1044;890;953,0.3326;0.3202;0.3151;0.3015;0.2834;0.2824;0.258;0.2536;0.2522;0.2497,1;0;0;0;1;0;1;0;0;0
107,in summarizing theoretical and experimental work on the behaviour of a typical aircraft structure in a noise environment is it possible to develop a design procedure .,summar theoret experiment work behaviour typic aircraft structur nois environ possibl develop design procedur .,,8,0.300,0.375,1,640;909;725;883;51;12;137;811;29;1279,0.3332;0.2537;0.2391;0.2253;0.1996;0.1892;0.1752;0.1675;0.1602;0.1597,1;1;1;0;0;0;0;0;0;0
108,what data is there on the fatigue of structures under acoustic loading .,data fatigu structur acoust load .,,8,0.600,0.750,1,75;724;726;768;884;720;883;1244;640;909,0.5571;0.5352;0.441;0.3749;0.3691;0.3541;0.3451;0.3319;0.2807;0.2758,1;1;1;0;0;1;0;0;1;1
109,panels subjected to aerodynamic heating .,panel subject aerodynam heat .,,6,0.100,0.167,9,1008;857;856;658;391;627;859;864;766;1392,0.4913;0.4777;0.4757;0.4739;0.4301;0.4248;0.4174;0.3976;0.3799;0.3651,0;0;0;0;0;0;0;0;1;0
110,can increasing the edge loading of a plate beyond the critical value for buckling change the buckling mode .,increas edg load plate beyond critic valu buckl chang buckl mode .,,5,0.100,0.200,1,862;642;957;1177;888;1013;739;1131;400;769,0.3347;0.2963;0.2804;0.2706;0.2691;0.2543;0.2462;0.2418;0.2406;0.2319,1;0;0;0;0;0;0;0;0;0
111,have the effects of an elastic edge restraint been considered in previous papers on panel flutter .,effect elast edg restraint consid previou paper panel flutter .,,8,0.400,0.500,1,894;856;1008;857;766;391;1131;859;864;658,0.4748;0.4455;0.4153;0.4001;0.3748;0.3729;0.3703;0.3352;0.3237;0.322,1;0;0;0;0;1;0;0;1;1
112,"has the solution of the clamped plate problem,  in the classical theory of bending,  been reduced to two successive membrane boundary value problems .","ha solut clamp plate problem , classic theori bend , reduc two success membran boundari valu problem .",,3,0.200,0.667,1,641;730;955;1045;735;733;736;840;647;734,0.5807;0.4344;0.3562;0.3515;0.2958;0.2888;0.2629;0.2538;0.2156;0.2116,1;1;0;0;0;0;0;0;0;0
113,what data exists on oscillatory aerodynamic forces on control surfaces at transonic mach numbers .,data exist oscillatori aerodynam forc control surfac transon mach number .,,5,0.200,0.400,4,716;1272;594;265;801;638;815;467;368;748,0.294;0.2289;0.2167;0.209;0.2015;0.199;0.1926;0.188;0.1793;0.1778,0;0;0;1;0;0;0;0;0;1
114,"it is not likely that the airforces on a wing of general planform oscillating in transonic flow can be determined by purely analytical methods . is it possible to determine the airforces on a single particular planform, such as the rectangular one by such method .","like airforc wing gener planform oscil transon flow determin pure analyt method . possibl determin airforc singl particular planform , rectangular one method .",,5,0.200,0.400,1,895;712;1290;919;1289;632;676;1266;757;465,0.5102;0.2318;0.144;0.1248;0.1224;0.1212;0.1204;0.1177;0.1125;0.1113,1;0;0;1;0;0;0;0;0;0
115,is the problem of similarity for representative investigations of aeroelastic effects in heated flow as intractable as previous investigations imply .,problem similar repres investig aeroelast effect heat flow intract previou investig impli .,,5,0.000,0.000,19,746;422;540;12;320;875;14;284;102;435,0.1805;0.1709;0.1213;0.104;0.101;0.0981;0.0975;0.0854;0.0789;0.0779,0;0;0;0;0;0;0;0;0;0
116,what is the magnitude and distribution of lift over the cone and the cylindrical portion of a cone-cylinder configuration .,magnitud distribut lift cone cylindr portion cone-cylind configur .,,6,0.000,0.000,12,801;48;186;225;1106;1038;522;1303;1074;1062,0.2973;0.1982;0.1763;0.1759;0.1647;0.1596;0.1507;0.1437;0.1362;0.1309,0;0;0;0;0;0;0;0;0;0
117,is there any information on how the addition of a /boat-tail/ affects the normal force on the body of various angles of incidence .,ani inform addit /boat-tail/ affect normal forc bodi variou angl incid .,/boat-tail/,3,0.000,0.000,18,196;1304;925;122;1285;927;440;203;492;1328,0.2746;0.2078;0.1885;0.188;0.168;0.1643;0.1613;0.1493;0.1408;0.1399,0;0;0;0;0;0;0;0;0;0
118,what are the aerodynamic interference effects on the fin lift and body lift of a fin-body combination .,aerodynam interfer effect fin lift bodi lift fin-bodi combin .,fin-bodi,4,0.200,0.500,8,246;520;803;610;811;1239;360;924;923;701,0.5271;0.2955;0.2947;0.2868;0.2618;0.2574;0.2544;0.2296;0.221;0.2172,0;0;0;0;0;0;0;1;1;0
119,what is the effect of initial axisymmetric deviations from circularity on the non linear (large-deflection) load-deflection response of cylinders under hydrostatic pressure .,effect initi axisymmetr deviat circular non linear ( large-deflect ) load-deflect respons cylind hydrostat pressur .,non,2,0.200,1.000,6,928;781;1116;938;1331;897;1133;1068;926;1070,0.2059;0.1614;0.1573;0.1571;0.1524;0.1512;0.1445;0.1398;0.1396;0.1381,0;0;0;0;0;1;0;0;1;0
120,are previous analyses of circumferential thermal buckling of circular cylindrical shells unnecessarily involved or even inaccurate due to the assumed forms of buckling mode .,previou analys circumferenti thermal buckl circular cylindr shell unnecessarili involv even inaccur due assum form buckl mode .,unnecessarili,10,0.700,0.700,1,769;887;1146;739;890;897;885;888;741;886,0.4145;0.3961;0.3075;0.2736;0.2602;0.2589;0.2573;0.2497;0.2449;0.2346,1;1;1;0;1;0;1;1;0;1
121,what papers are there dealing with circumferential buckling either thermal buckling or due to mechanical loading .,paper deal circumferenti buckl either thermal buckl due mechan load .,,8,0.500,0.625,1,1146;887;888;769;31;1178;1177;885;957;739,0.4198;0.3603;0.3438;0.3381;0.2735;0.2686;0.2606;0.2512;0.2366;0.2359,1;1;1;1;0;0;0;1;0;0
122,what analytical investigations have been made of the stability of conical shells . how do the results compare with experiment .,analyt investig made stabil conic shell . result compar experi .,,10,0.400,0.400,2,1070;898;930;938;1071;1059;934;1058;931;1171,0.4529;0.4125;0.3562;0.2743;0.2515;0.2497;0.2478;0.2401;0.2343;0.227,0;1;0;1;0;0;1;0;1;0
123,has any work been done on determining the nature of compressible viscous flow in a straight channel .,ha ani work done determin natur compress viscou flow straight channel .,,3,0.200,0.667,1,941;1221;1360;270;112;966;34;775;491;1222,0.4411;0.2626;0.2344;0.2145;0.2002;0.1591;0.1534;0.1446;0.1377;0.1359,1;0;0;0;0;1;0;0;0;0
124,"in what areas, other than low density wind tunnel flows, is viscous compressible flow in slender channels a problem . what analytical investigations have been made of the stability of conical shells . how do the results compare with experiment .","area , low densiti wind tunnel flow , viscou compress flow slender channel problem . analyt investig made stabil conic shell . result compar experi .",,5,0.100,0.200,1,941;1070;898;930;270;1221;934;938;1171;1153,0.4837;0.2736;0.241;0.214;0.1898;0.1887;0.1869;0.1861;0.1769;0.1712,1;0;0;0;0;0;0;0;0;0
125,jet interference with supersonic flow  -dash experimental papers .,jet interfer superson flow -dash experiment paper .,,18,0.200,0.111,1,997;610;1083;176;1195;993;519;695;1352;245,0.3354;0.3147;0.2699;0.2654;0.2581;0.243;0.2201;0.2157;0.2143;0.1989,1;0;0;1;0;0;0;0;0;0
126,thrust vector control by fluid injection -dash papers .,thrust vector control fluid inject -dash paper .,,9,0.200,0.222,2,1288;974;1095;1326;1083;1265;397;1237;628;125,0.3271;0.316;0.3116;0.2886;0.2651;0.2488;0.2324;0.2214;0.2068;0.2058,0;1;0;1;0;0;0;0;0;0
127,is it possible to obtain a reasonably simple analytical solution to the heat equation for an exponential (in time) heat input .,possibl obtain reason simpl analyt solut heat equat exponenti ( time ) heat input .,,6,0.200,0.333,5,5;6;158;869;981;75;587;395;944;294,0.3215;0.2772;0.2251;0.2085;0.1926;0.1784;0.1713;0.1433;0.1431;0.1366,0;0;0;0;1;0;0;0;1;0
128,has anyone programmed a pump design method for a high-speed digital computer .,ha anyon program pump design method high-spe digit comput .,anyon,3,0.100,0.333,1,945;1063;988;745;92;248;1219;1087;111;989,0.4958;0.2893;0.2473;0.2136;0.2037;0.1959;0.1729;0.1484;0.1354;0.1255,1;0;0;0;0;0;0;0;0;0
129,has anyone derived simplified pump design equation from the fundamental three-dimensional equations for incompressible nonviscous flow .,ha anyon deriv simplifi pump design equat fundament three-dimension equat incompress nonvisc flow .,anyon,8,0.500,0.625,1,945;988;989;987;1281;36;1220;3;507;985,0.4253;0.3875;0.1948;0.1858;0.1453;0.1324;0.1321;0.1139;0.1104;0.1036,1;1;1;1;0;0;0;0;0;1
130,what are the flutter characteristics of the exposed skin panels of the x-15 vertical stabilizer when subjected to aerodynamic heating .,flutter characterist expos skin panel x-15 vertic stabil subject aerodynam heat .,,6,0.500,0.833,1,948;859;766;856;391;1008;857;858;658;864,0.4333;0.4163;0.3685;0.3415;0.3359;0.3295;0.2878;0.2727;0.2712;0.2503,1;1;1;0;0;1;0;1;0;0
131,what agreement is found between theoretically predicted instability times and experimentally measured collapse times for compressed columns in creep .,agreement found theoret predict instabl time experiment measur collaps time compress column creep .,,9,0.300,0.333,5,1021;1023;1025;1026;950;952;1012;1015;1024;1017,0.5273;0.501;0.4236;0.4226;0.3901;0.3844;0.3722;0.3449;0.3395;0.3292,0;0;0;0;1;0;1;0;0;1
132,theoretical studies of creep buckling .,theoret studi creep buckl .,,16,0.800,0.500,1,1026;1013;1015;1021;1023;1028;1014;951;1017;1012,0.5443;0.5061;0.504;0.4779;0.4765;0.4504;0.4314;0.415;0.3733;0.3618,1;1;1;0;1;0;1;1;1;1
133,experimental studies of creep buckling .,experiment studi creep buckl .,,8,0.100,0.125,9,1026;1013;1015;1023;1028;1014;951;1021;1012;1029,0.5569;0.5178;0.5156;0.4875;0.4679;0.4413;0.4408;0.4067;0.3701;0.3551,0;0;0;0;0;0;0;0;1;0
134,is it possible to correlate the results on the creep buckling of widely different structures within the framework of a single theory .,possibl correl result creep buckl wide differ structur within framework singl theori .,,3,0.200,0.667,1,951;1015;1026;1028;1013;1023;1014;1012;1021;1024,0.3228;0.3002;0.2801;0.2793;0.2681;0.2511;0.2424;0.2423;0.2123;0.184,1;0;0;1;0;0;0;0;0;0
135,what are the experimental results for the creep buckling of columns .,experiment result creep buckl column .,,9,0.500,0.556,1,1026;1023;1017;1015;1012;1029;951;1013;1024;1014,0.7444;0.6125;0.6065;0.5903;0.5566;0.5486;0.547;0.5459;0.4978;0.4769,1;1;1;0;0;0;1;0;1;0
136,what are the results for the creep buckling of round tubes under external pressure .,result creep buckl round tube extern pressur .,,4,0.200,0.500,1,951;1026;1013;1015;1021;1023;1028;1033;1014;521,0.365;0.3524;0.3293;0.3263;0.3127;0.3085;0.2927;0.2915;0.2822;0.281,1;0;0;0;1;0;0;0;0;0
137,have any analytical studies been conducted on the time-to-failure mechanism associated with creep collapse for a long circular cylindrical shell which exhibits both primary and secondary creep as well as elastic deformations under various distributed force systems .,ani analyt studi conduct time-to-failur mechan associ creep collaps long circular cylindr shell exhibit primari secondari creep well elast deform variou distribut forc system .,time-to-failur,5,0.300,0.600,1,952;1023;1026;1021;1028;1015;1024;1034;1014;1013,0.5125;0.4105;0.4035;0.3805;0.2893;0.286;0.2681;0.25;0.2405;0.2383,1;0;0;1;0;0;0;1;0;0
138,"has the effect of initial stresses,  on the frequencies of vibration of circular cylindrical shells,  been investigated .","ha effect initi stress , frequenc vibrat circular cylindr shell , investig .",,3,0.200,0.667,2,847;953;844;848;897;846;887;764;889;1068,0.4696;0.4564;0.3758;0.3708;0.3647;0.3439;0.3178;0.3054;0.293;0.2912,0;1;0;0;0;1;0;0;0;0
139,"has the effect of the change of initial pressure due to deformation,  on the frequencies of vibration of circular cylindrical shells been investigated .","ha effect chang initi pressur due deform , frequenc vibrat circular cylindr shell investig .",,5,0.100,0.200,6,847;897;844;826;848;953;846;887;764;1068,0.4118;0.3724;0.3382;0.3338;0.3266;0.3235;0.3115;0.2975;0.2651;0.2449,0;0;0;0;0;1;0;0;0;0
140,what are the discontinuity stresses at junctions in pressurized structures .,discontinu stress junction pressur structur .,,7,0.300,0.429,1,954;922;887;1038;146;890;1039;870;729;726,0.5122;0.2701;0.2281;0.2144;0.2026;0.2014;0.1857;0.1628;0.1493;0.1456,1;0;0;1;0;0;1;0;0;0
141,what analytical solutions are available for stresses in edge-loaded shells of revolution .,analyt solut avail stress edge-load shell revolut .,,7,0.300,0.429,1,1038;930;1043;890;889;887;1044;826;885;953,0.2461;0.2186;0.1901;0.188;0.1727;0.169;0.1655;0.1616;0.1612;0.1565,1;0;1;0;0;0;1;0;0;0
142,what dome contours minimize discontinuity stresses when used as closures on cylindrical pressure vessels .,dome contour minim discontinu stress use closur cylindr pressur vessel .,,2,0.100,0.500,2,827;954;887;922;1134;1135;1136;1009;1125;885,0.305;0.286;0.1517;0.1398;0.1327;0.1325;0.1292;0.122;0.1172;0.1099,0;1;0;0;0;0;0;0;0;0
143,what general solutions for the stresses in pressurized shells of revolution are available .,gener solut stress pressur shell revolut avail .,,3,0.200,0.667,2,930;1043;890;889;826;1044;887;953;1071;1129,0.3923;0.3379;0.3091;0.284;0.2833;0.2822;0.2779;0.2726;0.2715;0.2679,0;1;0;0;0;1;0;0;0;0
144,can studies of pure membrane cylinders having no wall bending stiffness but maintaining their shape by virtue of internal pressure provide any insight into the behaviour of pressurized cylinders with finite wall stiffness .,studi pure membran cylind wall bend stiff maintain shape virtu intern pressur provid ani insight behaviour pressur cylind finit wall stiff .,virtu,7,0.600,0.857,1,1045;955;763;1340;839;840;838;1126;1046;1363,0.3589;0.3031;0.2621;0.2324;0.2198;0.2035;0.1944;0.1895;0.1859;0.1772,1;1;1;0;1;1;1;0;0;0
145,what are the best experimental data and classical small deflection theory analyses available for pressurized cylinders in bending .,best experiment data classic small deflect theori analys avail pressur cylind bend .,,8,0.400,0.500,1,1045;839;763;1046;838;1051;1126;1121;1176;1024,0.2982;0.2355;0.2077;0.2045;0.1893;0.1864;0.1843;0.1811;0.1778;0.1761,1;1;1;0;1;0;0;0;0;0
146,does a membrane theory exist by which the behaviour of pressurized membrane cylinders in bending can be predicted .,doe membran theori exist behaviour pressur membran cylind bend predict .,,3,0.300,1.000,1,1045;955;840;641;854;730;1175;763;839;1046,0.5877;0.574;0.3921;0.3557;0.3075;0.2653;0.2025;0.1599;0.1565;0.1385,1;1;1;0;0;0;0;0;0;0
147,what are the equations which define the stability of simply supported corrugated core sandwich cylinders .,equat defin stabil simpli support corrug core sandwich cylind .,,11,0.500,0.455,1,956;1049;1050;1128;1358;1171;720;1172;1048;843,0.6241;0.4786;0.3553;0.2651;0.2514;0.2388;0.2315;0.2212;0.2131;0.2092,1;1;1;0;0;0;0;0;1;1
148,papers on small deflection theory for buckling of sandwich cylinders .,paper small deflect theori buckl sandwich cylind .,,7,0.400,0.571,1,1048;956;1050;720;761;1049;1126;888;642;928,0.4876;0.4192;0.4007;0.3724;0.3538;0.3375;0.3375;0.2924;0.2578;0.2251,1;1;1;0;0;1;0;0;0;0
149,has anyone developed an analysis which accurately establishes the large deflection behaviour of conical shells .,ha anyon develop analysi accur establish larg deflect behaviour conic shell .,anyon,12,0.300,0.250,1,930;1070;1058;926;1044;1068;1059;898;1361;633,0.3942;0.3397;0.2621;0.22;0.2085;0.2065;0.2029;0.1955;0.187;0.1764,1;0;1;0;0;0;1;0;0;0
150,what is the magnitude of second-order wing-body interference at high supersonic mach number .,magnitud second-ord wing-bodi interfer high superson mach number .,,3,0.300,1.000,1,1062;1074;1075;1243;610;1259;432;923;803;1202,0.5869;0.555;0.4675;0.3676;0.2977;0.2822;0.2734;0.2536;0.2507;0.2379,1;1;1;0;0;0;0;0;0;0
