qid,raw_query,tokens,oov,n_relevant,P@10,R@10,rank_first_relevant,top10_docs,top10_scores,top10_relevant_flag
151,what is the best theoretical method for calculating pressure on the surface of a wing alone .,best theoret method calcul pressur surfac wing alon .,,6,0.000,0.000,19,433;251;678;1246;676;52;1195;101;222;247,0.1766;0.1733;0.1444;0.1375;0.1358;0.1356;0.1287;0.1271;0.1263;0.1203,0;0;0;0;0;0;0;0;0;0
152,"how can the effect of the boundary-layer on wing pressure be calculated, and what is its magnitude .","effect boundary-lay wing pressur calcul , magnitud .",,7,0.000,0.000,66,671;1225;678;336;696;333;52;794;250;699,0.2546;0.2194;0.2078;0.2033;0.1971;0.1957;0.1947;0.1879;0.1872;0.1767,0;0;0;0;0;0;0;0;0;0
153,how should the navier-stokes difference equations be solved .,navier-stok differ equat solv .,,8,0.400,0.500,1,1063;1085;1081;393;323;281;394;1082;666;266,0.4618;0.2783;0.222;0.1965;0.1586;0.1577;0.1552;0.1522;0.1467;0.1396,1;1;1;0;0;0;0;1;0;0
154,which iterative method for solving linear elliptic difference equations is most rapidly convergent .,iter method solv linear ellipt differ equat rapidli converg .,,3,0.300,1.000,2,832;1087;1088;1262;1054;1063;1108;111;1085;1086,0.547;0.39;0.3439;0.2697;0.262;0.2057;0.195;0.1931;0.1855;0.1848,0;1;1;0;0;1;0;0;0;0
155,technical report on measurement of ablation during flight .,technic report measur ablat dure flight .,,7,0.400,0.571,2,553;1099;1097;1100;1241;810;1101;1065;1098;1096,0.3753;0.3507;0.2737;0.2734;0.2098;0.198;0.1911;0.1598;0.1482;0.1379,0;1;0;1;0;0;1;1;0;0
156,what qualitative and quantitative material is available on ablation materials research .,qualit quantit materi avail ablat materi research .,,15,0.700,0.467,1,553;1097;1099;1100;1096;1098;761;1065;1117;1241,0.4406;0.4172;0.4108;0.3203;0.2754;0.2259;0.1931;0.19;0.1758;0.1717,1;1;1;1;1;1;0;1;0;0
157,have flow fields been calculated for blunt-nosed bodies and compared with experiment for a wide range of free stream conditions and body shapes .,flow field calcul blunt-nos bodi compar experi wide rang free stream condit bodi shape .,,40,0.500,0.125,1,25;160;1393;1006;1391;498;20;556;1239;122,0.2328;0.2321;0.2158;0.2078;0.205;0.1985;0.196;0.1933;0.1865;0.1845,1;1;0;1;0;0;0;1;0;1
158,what are the available properties of high-temperature air .,avail properti high-temperatur air .,,9,0.100,0.111,1,302;1269;949;1199;319;405;1263;691;355;1214,0.2759;0.1908;0.1402;0.1275;0.1251;0.1229;0.1164;0.113;0.1122;0.1064,1;0;0;0;0;0;0;0;0;0
159,what is the magnitude of aerodynamic damping in flexible vibration modes of a slender body of revolution characteristic of launch vehicles .,magnitud aerodynam damp flexibl vibrat mode slender bodi revolut characterist launch vehicl .,,9,0.200,0.222,1,1066;1197;1287;958;1321;1115;1293;1259;844;1339,0.4283;0.2667;0.2048;0.202;0.1836;0.1816;0.1757;0.1706;0.1695;0.1667,1;0;0;0;0;1;0;0;0;0
160,compressive circumferential stresses in a torispherical shell reveal the possibility of buckling under internal pressure . has anyone investigated for which ranges of shell parameters these stresses are sufficiently large to cause elastic buckling .,compress circumferenti stress torispher shell reveal possibl buckl intern pressur . ha anyon investig rang shell paramet stress suffici larg caus elast buckl .,anyon,6,0.200,0.333,1,1071;887;885;890;739;769;741;1134;1172;897,0.5844;0.3796;0.3718;0.3678;0.3206;0.3162;0.3069;0.2894;0.2872;0.2702,1;0;0;0;0;0;0;1;0;0
161,is there an integral method to give a single and sufficiently accurate method of calculating the laminar separate point for various incompressible and compressible boundary layers with zero heat transfer .,integr method give singl suffici accur method calcul laminar separ point variou incompress compress boundari layer zero heat transfer .,,7,0.300,0.429,1,1386;55;1192;460;54;145;461;959;1185;366,0.3168;0.3006;0.2827;0.269;0.2544;0.2511;0.2466;0.2415;0.234;0.2199,1;1;0;0;1;0;0;0;0;0
162,what accurate or exact solutions of the laminar separation point for various incompressible and compressible boundary layers with zero heat transfer are available .,accur exact solut laminar separ point variou incompress compress boundari layer zero heat transfer avail .,,9,0.200,0.222,3,55;559;460;959;145;1383;366;376;1182;461,0.3401;0.3114;0.3049;0.2829;0.2707;0.256;0.2518;0.2399;0.2392;0.2339,0;0;1;0;0;0;0;0;0;1
163,can the hypersonic similarity results be applied to the technique of predicting surface pressures of an ogive forebody at angle of attack .,hyperson similar result appli techniqu predict surfac pressur ogiv forebodi angl attack .,,4,0.300,0.750,1,492;434;57;56;233;232;1040;1231;124;373,0.5788;0.3008;0.2954;0.2733;0.2655;0.2502;0.2385;0.23;0.2298;0.2241,1;0;1;1;0;0;0;0;0;0
164,what determines the onset of shock-induced boundary-layer separation .,determin onset shock-induc boundary-lay separ .,,9,0.400,0.444,1,311;265;316;415;1187;503;187;996;457;1287,0.2981;0.287;0.2359;0.2199;0.1741;0.1533;0.1511;0.1507;0.1365;0.1298,1;0;1;1;0;1;0;0;0;0
165,are the stable profiles of a compressible boundary layer induced by a moving wave known .,stabl profil compress boundari layer induc move wave known .,,3,0.200,0.667,1,504;71;1276;978;335;417;569;64;1076;943,0.2681;0.2001;0.1929;0.1774;0.1746;0.172;0.1701;0.167;0.1658;0.1614,1;1;0;0;0;0;0;0;0;0
166,are there experimental results on the stability of a compressible boundary layer induced by a moving wave .,experiment result stabil compress boundari layer induc move wave .,,9,0.100,0.111,1,504;1276;71;1171;569;55;1302;256;663;64,0.3481;0.2469;0.2122;0.2076;0.2042;0.2036;0.2015;0.1972;0.1934;0.1926,1;0;0;0;0;0;0;0;0;0
167,exact solution methods for calculating the ablative mass loss of a material ablating at high temperatures in a hypersonic flight environment .,exact solut method calcul abl mass loss materi ablat high temperatur hyperson flight environ .,,3,0.100,0.333,10,553;1099;1279;1097;1100;1241;1096;1098;877;274,0.3698;0.3096;0.2926;0.2844;0.2615;0.2208;0.1669;0.161;0.1489;0.146,0;0;0;0;0;0;0;0;0;1
168,"what approximate solutions are known to the direct problem of transonic flow in the throat of a nozzle,  i.e. finding the flow in a given nozzle .","approxim solut known direct problem transon flow throat nozzl , i.e . find flow given nozzl .",,3,0.200,0.667,1,750;965;217;341;136;1187;118;970;127;221,0.4835;0.3524;0.307;0.2801;0.2783;0.274;0.2512;0.2342;0.2301;0.218,1;0;1;0;0;0;0;0;0;0
169,"what approximate solutions are known to the indirect problem of transonic flow in the throat of a nozzle,  i.e. finding a nozzle which has a given axial velocity distribution .","approxim solut known indirect problem transon flow throat nozzl , i.e . find nozzl ha given axial veloc distribut .",,5,0.200,0.400,1,750;965;217;341;136;118;1187;127;970;213,0.4378;0.3076;0.2858;0.254;0.2398;0.2396;0.2335;0.2236;0.2179;0.1945,1;0;0;0;0;1;0;0;0;0
170,"why do users of orthodox pitot-static tubes often find that the calibrations appear to be,. - (a) significantly different from those formerly specified,  (b) wildly variable at low reynolds numbers .","whi user orthodox pitot-stat tube often find calibr appear , . - ( ) significantli differ formerli specifi , ( b ) wildli variabl low reynold number .",orthodox formerli wildli,7,0.500,0.714,1,893;238;905;239;904;223;139;738;1082;175,0.299;0.2735;0.2122;0.2059;0.1995;0.1448;0.1361;0.1223;0.12;0.1112,1;1;0;1;1;0;1;0;0;0
171,has a comparison been made between interference-free drag measurements using free-flight models and similar measurements made in a low-blockage wind tunnel .,ha comparison made interference-fre drag measur use free-flight model similar measur made low-blockag wind tunnel .,interference-fre low-blockag,4,0.300,0.750,1,431;594;516;141;1155;598;1153;904;876;755,0.4175;0.3199;0.3198;0.2976;0.2876;0.2171;0.2141;0.2023;0.202;0.1924,1;0;1;1;0;0;0;0;0;0
172,solution of the blasius problem with three-point boundary conditions .,solut blasiu problem three-point boundari condit .,,5,0.500,1.000,1,527;320;322;321;476;1370;1235;107;1251;23,0.7843;0.6395;0.4566;0.3872;0.2925;0.1991;0.1736;0.1614;0.1482;0.1358,1;1;1;1;1;0;0;0;0;0
173,references on lyapunov's method on the stability of linear differential equations with periodic coefficients .,refer lyapunov 's method stabil linear differenti equat period coeffici .,,3,0.300,1.000,1,532;367;451;703;917;470;1073;538;21;55,0.491;0.312;0.1803;0.1455;0.1433;0.1189;0.1158;0.1099;0.1055;0.1029,1;1;1;0;0;0;0;0;0;0
174,obtain all papers and reports that contain shock detachment distance data .,obtain paper report contain shock detach distanc data .,,6,0.200,0.333,4,483;1319;1274;411;1157;1390;523;482;35;1151,0.5465;0.3425;0.3303;0.3198;0.2958;0.2674;0.2486;0.2408;0.2399;0.2371,0;0;0;1;0;0;0;1;0;0
175,work on flow in channels at low reynolds numbers .,work flow channel low reynold number .,,6,0.200,0.333,1,941;1221;270;112;34;491;1222;238;966;139,0.6036;0.3815;0.3278;0.2548;0.2419;0.2409;0.2177;0.2169;0.2165;0.2037,1;0;0;0;0;0;0;0;1;0
176,some approximate analytical heat conduction solutions using methods other than biot's principle .,approxim analyt heat conduct solut use method biot 's principl .,,8,0.100,0.125,2,963;542;869;5;153;30;497;1221;395;853,0.4374;0.4012;0.2072;0.1829;0.1547;0.1432;0.1417;0.1377;0.1211;0.1211,0;1;0;0;0;0;0;0;0;0
177,what mode of stalling can be expected for each stage of an axial compressor .,mode stall expect stage axial compressor .,,6,0.600,1.000,1,589;588;576;590;543;216;592;138;444;772,0.6424;0.5164;0.4316;0.4251;0.4079;0.3211;0.3144;0.2906;0.2366;0.2341,1;1;0;1;1;0;1;0;0;1
178,has a criterion been established for determining the axial compressor choking line .,ha criterion establish determin axial compressor choke line .,,5,0.400,0.800,2,216;589;543;138;1153;592;1155;591;214;590,0.2915;0.2812;0.2533;0.2295;0.2251;0.2201;0.2049;0.1867;0.1848;0.1811,0;1;1;0;0;0;0;1;0;1
179,"has a theory of quasi-conical flows been developed, in supersonic linearised theory, for which the upwash distribution on the lifting surface, apart from being a homogeneous function in the co-ordinate, is permitted to have a quite general functional form .","ha theori quasi-con flow develop , superson linearis theori , upwash distribut lift surfac , apart homogen function co-ordin , permit quit gener function form .",,5,0.300,0.600,1,680;633;227;682;918;854;701;1164;1080;1330,0.216;0.2097;0.1864;0.1536;0.1425;0.133;0.1117;0.1095;0.1063;0.105,1;1;0;1;0;0;0;0;0;0
180,how does scale height vary with altitude in an atmosphere .,doe scale height vari altitud atmospher .,,8,0.400,0.500,1,548;622;314;616;218;1103;617;882;806;401,0.3087;0.2719;0.2506;0.2438;0.1947;0.1613;0.1522;0.1468;0.1443;0.1414,1;1;0;1;0;0;1;0;0;0
181,jet interference with supersonic flows theoretical papers .,jet interfer superson flow theoret paper .,,6,0.100,0.167,1,997;610;176;1195;993;695;519;1062;1352;131,0.4901;0.4723;0.3683;0.3633;0.3472;0.3082;0.3059;0.3048;0.303;0.2792,1;0;0;0;0;0;0;0;0;0
182,effects of leading-edge bluntness on the flutter characteristics of some square-planform double-wedge airfoils at mach numbers less than 15.4.,effect leading-edg blunt flutter characterist square-planform double-wedg airfoil mach number less 15.4 .,,3,0.300,1.000,1,634;685;593;686;39;878;70;334;194;1228,0.5533;0.3458;0.1917;0.186;0.1768;0.1594;0.1592;0.1388;0.1383;0.1382,1;1;0;1;0;0;0;0;0;0
183,what factors have been shown to have a primary influence on sonic boom strength .,factor shown primari influenc sonic boom strength .,,14,0.800,0.571,1,1247;1243;804;808;810;805;811;409;268;806,0.299;0.2853;0.2452;0.2267;0.2226;0.1693;0.1536;0.1434;0.1384;0.1375,1;1;1;1;1;1;1;0;0;1
184,work on small-oscillation re-entry motions .,work small-oscil re-entri motion .,small-oscil,8,0.200,0.250,2,554;716;1217;1219;978;509;639;153;813;82,0.3185;0.2014;0.1677;0.1613;0.1582;0.1553;0.1535;0.1477;0.1404;0.1317,0;1;0;0;0;0;1;0;0;0
185,experimental studies on panel flutter .,experiment studi panel flutter .,,10,0.600,0.600,1,856;1008;857;766;391;859;858;864;658;627,0.7772;0.699;0.6565;0.6478;0.6378;0.5708;0.5566;0.5537;0.5483;0.459,1;1;1;1;0;1;1;0;0;0
186,"how can wing-body, flow field interference effects be approximated rationally .","wing-bodi , flow field interfer effect approxim ration .",,17,0.500,0.294,1,1062;1243;1075;610;1074;432;803;923;924;809,0.398;0.3641;0.3386;0.3096;0.2793;0.2704;0.2607;0.2512;0.191;0.1657,1;0;1;0;1;0;0;1;1;0
187,has anyone analytically or experimentally investigated the effects of internal pressure on the buckling of circular-cylindrical shells under bending .,ha anyon analyt experiment investig effect intern pressur buckl circular-cylindr shell bend .,anyon,7,0.300,0.429,1,763;838;1071;1171;841;839;739;887;1126;1068,0.5236;0.2843;0.2729;0.2469;0.2433;0.2431;0.2308;0.229;0.227;0.2232,1;1;0;0;0;1;0;0;0;0
188,what theoretical and experimental work has been done on the excitation and response of typical structures in a noise environment .,theoret experiment work ha done excit respons typic structur nois environ .,,12,0.400,0.333,1,725;909;722;640;781;720;1279;1360;137;1331,0.3579;0.2724;0.2502;0.244;0.1991;0.1948;0.1883;0.1823;0.1808;0.1799,1;1;1;1;0;0;0;0;0;0
189,is there a design method for calculating thermal fatigue endurances of components of various types and sizes in a variety of circumstances .,design method calcul thermal fatigu endur compon variou type size varieti circumst .,,10,0.100,0.100,1,767;768;726;883;909;640;75;884;881;1146,0.4427;0.1961;0.1833;0.1739;0.1443;0.1405;0.1333;0.1295;0.1141;0.1077,1;0;0;0;0;0;0;0;0;0
190,"will an analysis of panel flutter based on arbitrarily assumed modes of deformation prove satisfactory,  and if so,  what is the minimum number of modes that need be considered .","analysi panel flutter base arbitrarili assum mode deform prove satisfactori , , minimum number mode need consid .",,6,0.300,0.500,3,856;1008;391;857;766;627;390;859;1339;864,0.3357;0.2907;0.2826;0.2568;0.2546;0.2356;0.2356;0.2296;0.2236;0.2218,0;0;1;0;0;0;1;0;0;1
191,"what is the criterion for true panel flutter,  as opposed to small amplitude vibration arising from acoustic disturbances .","criterion true panel flutter , oppos small amplitud vibrat aris acoust disturb .",,14,0.700,0.500,1,856;1008;391;857;766;658;859;864;858;627,0.2902;0.2733;0.2539;0.2533;0.2511;0.2294;0.2272;0.2204;0.216;0.2032,1;1;1;1;0;1;0;1;1;0
192,papers dealing with uniformly loaded sectors .,paper deal uniformli load sector .,,5,0.400,0.800,1,641;734;733;735;925;647;1175;1084;875;850,0.3665;0.3155;0.2788;0.2696;0.2113;0.1871;0.1632;0.1277;0.12;0.1191,1;1;1;1;0;0;0;0;0;0
193,general methods of solving clamped plate problems .,gener method solv clamp plate problem .,,10,0.700,0.700,1,730;735;733;641;736;648;400;422;1387;1396,0.4159;0.3846;0.3722;0.3596;0.2905;0.2896;0.2744;0.2574;0.2396;0.2302,1;1;1;1;1;1;0;1;0;0
194,how can the analytical solution of the buckling strength of a uniform circular cylinder loaded in axial compression be refined so as to lower the buckling load .,analyt solut buckl strength uniform circular cylind load axial compress refin lower buckl load .,,7,0.200,0.286,1,642;888;932;957;1177;1126;769;1178;1045;741,0.5351;0.4384;0.4345;0.3316;0.3135;0.3032;0.2765;0.2706;0.2648;0.2615,1;0;0;0;0;0;0;0;0;1
195,"in the problem of the buckling strength of uniform circular cylinders loaded in axial compression,  does the linear solution help with improving the non-linear one .","problem buckl strength uniform circular cylind load axial compress , doe linear solut help improv non-linear one .",,4,0.200,0.500,1,642;932;888;1055;744;739;457;1054;1045;1126,0.4231;0.3113;0.2934;0.291;0.2262;0.2251;0.2189;0.215;0.2139;0.2128,1;0;0;0;0;1;0;0;0;0
196,the problem of similarity for representative investigation of aeroelastic effects in a flow with the absence of heating effects .,problem similar repres investig aeroelast effect flow absenc heat effect .,,13,0.300,0.231,1,746;1237;12;14;875;540;435;284;1281;1361,0.2662;0.168;0.1494;0.142;0.1357;0.1209;0.1153;0.1145;0.1131;0.111,1;0;1;0;1;0;0;0;0;0
197,how is fatigue damage estimated using the normal long-hand method .,fatigu damag estim use normal long-hand method .,long-hand,4,0.400,1.000,1,884;881;726;768;1168;909;883;723;75;767,0.5838;0.4525;0.3723;0.3627;0.3108;0.2619;0.2572;0.2342;0.2101;0.1909,1;1;0;1;0;0;1;0;0;0
198,is there any information available on the difference in the effects of various edge conditions on the buckling of cylindrical shells .,ani inform avail differ effect variou edg condit buckl cylindr shell .,,5,0.200,0.400,1,889;887;739;897;886;1068;740;743;890;1126,0.3353;0.3195;0.3146;0.2939;0.2876;0.2844;0.2843;0.2724;0.2572;0.2473,1;1;0;0;0;0;0;0;0;0
199,have non-linear large deflection analyses been conducted for shell shapes other than conical .,non-linear larg deflect analys conduct shell shape conic .,,9,0.200,0.222,4,930;1070;739;1055;1058;1294;1044;1059;898;744,0.3769;0.3504;0.2754;0.2678;0.2529;0.2414;0.2099;0.1982;0.1968;0.1873,0;0;0;1;0;0;0;0;0;1
200,"are asymptotic methods sufficiently accurate in the determination of pre-buckling stresses in torispherical shells,  or must we resort to numerical methods .","asymptot method suffici accur determin pre-buckl stress torispher shell , must resort numer method .",pre-buckl,4,0.300,0.750,1,1071;1134;1044;890;930;889;264;1043;1137;885,0.374;0.242;0.1466;0.1462;0.1451;0.1396;0.1364;0.1343;0.1336;0.1321,1;1;0;0;0;0;0;0;1;0
201,what are the nonequilibrium chemical constituents in the viscous shock layer ahead of a blunt re-entry vehicle .,nonequilibrium chemic constitu viscou shock layer ahead blunt re-entri vehicl .,,17,0.300,0.176,1,625;541;1295;410;24;1245;554;716;1297;972,0.2375;0.2011;0.2;0.1678;0.166;0.1596;0.1498;0.1476;0.1413;0.1388,1;1;1;0;0;0;0;0;0;0
202,"how accurate are existing analytical theories in estimating pressure distributions on cones at incidence,  at hypersonic speeds .","accur exist analyt theori estim pressur distribut cone incid , hyperson speed .",,15,0.600,0.400,1,1285;1310;605;1303;225;19;232;1311;48;186,0.3424;0.2201;0.2124;0.2103;0.1993;0.1989;0.197;0.197;0.1919;0.1819,1;1;1;1;0;0;1;0;1;0
203,are simple empirical methods of any use for estimating pressure distribution in cones .,simpl empir method ani use estim pressur distribut cone .,,15,0.300,0.200,2,38;1285;48;58;225;1303;1308;122;423;676,0.3412;0.2416;0.2277;0.2229;0.2202;0.2005;0.1941;0.1842;0.1726;0.1669,0;1;0;1;0;0;0;1;0;0
204,do viscous effects seriously modify pressure distributions .,viscou effect serious modifi pressur distribut .,,15,0.200,0.133,3,147;937;1311;310;305;1080;540;443;208;573,0.1971;0.148;0.1334;0.1304;0.1286;0.0989;0.0976;0.0973;0.095;0.094,0;0;1;0;0;0;1;0;0;0
205,has anyone investigated theoretically whether surface flexibility can stabilize a laminar boundary layer .,ha anyon investig theoret whether surfac flexibl stabil laminar boundari layer .,anyon,3,0.300,1.000,1,1287;1321;1197;78;55;1322;337;1323;959;73,0.3409;0.3107;0.2326;0.2101;0.2039;0.1629;0.1498;0.1405;0.1398;0.1381,1;1;0;0;0;1;0;0;0;0
206,how do subsonic and transonic flutter data measured in the new langley transonic dynamics tunnel compare with similar data obtained in other facilities .,subson transon flutter data measur new langley transon dynam tunnel compar similar data obtain facil .,,4,0.100,0.250,1,1290;879;878;876;526;468;469;801;880;503,0.4729;0.382;0.2471;0.2382;0.2369;0.2289;0.2149;0.2134;0.2098;0.201,1;0;0;0;0;0;0;0;0;0
207,how do large changes in new mass ratio quantitatively affect wing-flutter boundaries .,larg chang new mass ratio quantit affect wing-flutt boundari .,wing-flutt,6,0.000,0.000,59,458;365;1185;1154;439;84;123;525;1241;1302,0.1915;0.1871;0.162;0.1403;0.138;0.1338;0.1297;0.1282;0.1238;0.1217,0;0;0;0;0;0;0;0;0;0
208,what is the effect of the shape of the drag polar of a lifting spacecraft on the amount of reduction in maximum deceleration obtainable by continuously varying the aerodynamic coefficients during re-entry .,effect shape drag polar lift spacecraft amount reduct maximum deceler obtain continu vari aerodynam coeffici dure re-entri .,,7,0.400,0.571,1,1291;1344;566;1345;1124;698;163;1256;279;554,0.4945;0.3034;0.1736;0.1526;0.1396;0.1393;0.1391;0.1352;0.1334;0.1315,1;1;0;1;0;0;1;0;0;0
209,what are the physical significance and characteristics of separated laminar and turbulent boundary layer flows .,physic signific characterist separ laminar turbul boundari layer flow .,,13,0.300,0.231,4,959;798;996;55;187;1364;358;1383;461;240,0.3574;0.3069;0.2791;0.2438;0.2417;0.2411;0.2397;0.2331;0.2322;0.2255,0;0;0;1;1;0;0;1;0;0
210,has anyone analytically investigated the stabilizing influence of soft elastic cores on the buckling strength of cylindrical shells subjected to non-uniform external pressure .,ha anyon analyt investig stabil influenc soft elast core buckl strength cylindr shell subject non-uniform extern pressur .,anyon,7,0.300,0.429,1,1172;1171;1145;1126;956;1128;1068;887;739;743,0.5466;0.42;0.3614;0.2787;0.2333;0.2305;0.227;0.2198;0.2186;0.2169,1;1;1;0;0;0;0;0;0;0
211,what papers are available on the buckling of empty cylindrical shells under non-uniform pressure .,paper avail buckl empti cylindr shell non-uniform pressur .,empti,12,0.100,0.083,7,739;897;887;740;743;889;1068;890;886;848,0.3382;0.3224;0.3123;0.2926;0.2852;0.2799;0.2759;0.2682;0.2581;0.2487,0;0;0;0;0;0;1;0;0;0
212,what effect do thermal stresses have on the compressive buckling strength of ring-stiffened cylinders .,effect thermal stress compress buckl strength ring-stiffen cylind .,,15,0.600,0.400,1,1178;888;1176;1177;838;885;642;1146;31;1133,0.6609;0.5722;0.4621;0.4617;0.4322;0.3708;0.3674;0.3551;0.3185;0.2698,1;1;1;1;0;1;0;1;0;0
213,what is the effect on cylinder buckling of a circumferential stress system that varies in the axial direction .,effect cylind buckl circumferenti stress system vari axial direct .,,12,0.600,0.500,1,888;1146;885;769;741;1116;642;1178;887;891,0.4646;0.4297;0.4227;0.3774;0.3351;0.3305;0.2935;0.2916;0.2866;0.2713,1;1;1;1;0;0;0;1;1;0
214,can non-linear shallow shell analysis be reduced to an engineering technique by use of the matrix .,non-linear shallow shell analysi reduc engin techniqu use matrix .,,5,0.200,0.400,1,1294;1362;828;831;930;47;739;848;756;1055,0.5549;0.3981;0.3676;0.2513;0.2395;0.2177;0.2098;0.2068;0.2052;0.2,1;1;0;0;0;0;0;0;0;0
215,is it possible to predict the shape of a shroud which will allow simulation of the nose region flow field for a sphere in hypersonic flow .,possibl predict shape shroud allow simul nose region flow field sphere hyperson flow .,,3,0.100,0.333,1,535;68;1234;1253;770;25;1204;357;44;666,0.4352;0.2328;0.223;0.2223;0.2147;0.195;0.191;0.1875;0.186;0.1828,1;0;0;0;0;0;0;0;0;0
216,what investigations have been made of the wave system created by a static pressure distribution over a liquid surface .,investig made wave system creat static pressur distribut liquid surfac .,,2,0.000,0.000,232,958;407;764;974;1225;175;1288;1269;1220;117,0.2176;0.1928;0.1927;0.1716;0.1707;0.1596;0.1573;0.1517;0.1502;0.142,0;0;0;0;0;0;0;0;0;0
217,has anyone investigated the effect of shock generated vorticity on heat transfer to a blunt body .,ha anyon investig effect shock gener vortic heat transfer blunt bodi .,anyon,16,0.200,0.125,3,323;629;559;655;180;666;1319;324;1274;902,0.3667;0.3059;0.3018;0.2975;0.2899;0.2765;0.2592;0.2479;0.2434;0.2399,0;0;1;0;0;1;0;0;0;0
218,what is the heat transfer to a blunt body in the absence of vorticity .,heat transfer blunt bodi absenc vortic .,,16,0.200,0.125,2,323;559;180;629;655;666;324;902;211;433,0.2633;0.2477;0.2437;0.243;0.2259;0.1967;0.1834;0.1811;0.172;0.1683,0;1;0;0;0;1;0;0;0;0
219,what are the general effects on flow fields when the reynolds number is small .,gener effect flow field reynold number small .,,19,0.200,0.105,3,1222;668;1078;267;1221;775;579;1191;53;1273,0.2426;0.2363;0.2343;0.2113;0.2055;0.2005;0.1957;0.1918;0.1906;0.1884,0;0;1;0;0;0;0;1;0;0
220,find a calculation procedure applicable to all incompressible laminar boundary layer flow problems having good accuracy and reasonable computation time .,find calcul procedur applic incompress laminar boundari layer flow problem good accuraci reason comput time .,,20,0.100,0.050,5,738;4;382;242;292;461;1192;231;491;629,0.2252;0.2057;0.2037;0.1888;0.188;0.1846;0.1774;0.1749;0.1732;0.1721,0;0;0;0;1;0;0;0;0;0
221,papers applicable to this problem (calculation procedures for laminar incompressible flow with arbitrary pressure gradient) .,paper applic thi problem ( calcul procedur laminar incompress flow arbitrari pressur gradient ) .,,19,0.500,0.263,2,3;1366;1225;1386;62;55;435;1182;73;292,0.2591;0.2558;0.232;0.2289;0.2024;0.1999;0.1874;0.1827;0.1775;0.1764,0;1;0;1;1;0;0;1;0;1
222,has anyone investigated the shear buckling of stiffened plates .,ha anyon investig shear buckl stiffen plate .,anyon,10,0.700,0.700,1,1400;1398;1130;419;1399;1358;1357;1397;1396;400,0.5803;0.5311;0.5184;0.4918;0.4353;0.3845;0.3635;0.3582;0.3215;0.3039,1;1;0;1;1;0;0;1;1;1
223,papers on shear buckling of unstiffened rectangular plates under shear .,paper shear buckl unstiffen rectangular plate shear .,,5,0.200,0.400,1,400;393;1398;1399;3;659;418;4;1037;664,0.3528;0.2987;0.2968;0.2751;0.2465;0.2304;0.2286;0.2279;0.223;0.2228,1;0;1;0;0;0;0;0;0;0
224,"in practice, how close to reality are the assumptions that the flow in a hypersonic shock tube using nitrogen is non-viscous and in thermodynamic equilibrium .","practic , close realiti assumpt flow hyperson shock tube use nitrogen non-visc thermodynam equilibrium .",realiti non-visc,9,0.200,0.222,9,1312;1298;236;175;396;1314;110;1139;1286;656,0.2687;0.254;0.2538;0.2347;0.2258;0.2145;0.2032;0.2006;0.1985;0.1967,0;0;0;0;0;0;0;0;1;1
225,what design factors can be used to control lift-drag ratios at mach numbers above 5 .,design factor use control lift-drag ratio mach number abov 5 .,,25,0.300,0.120,1,1188;1380;638;368;1291;1344;225;340;77;9,0.4208;0.3412;0.2362;0.2058;0.2023;0.1646;0.1559;0.1486;0.1413;0.1396,1;1;0;0;0;0;1;0;0;0
